seed,T,k,avg_price,avg_profit,share_state_0.5_0.5,share_joint_consecutive_0.5,mode_pair,share_mode_pair,std_market,cycle_amp,jump_count_large,regime
306,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
307,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
308,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
309,500000,6,0.49998,0.12499361111111111,0.99992,0.99992,"(np.float64(0.5), np.float64(0.5))",0.99992,0.0024719852570577986,0.4166666666666667,1,monopoly_regime
310,500000,6,0.33334333333333327,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99996,0.0015811072069913537,0.24999999999999994,2,focal_equal_price
311,500000,6,0.6666666666666665,0.11111111111111113,0.0,0.0,"(np.float64(0.666667), np.float64(0.666667))",1.0,1.1102230246251565e-16,0.0,0,focal_equal_price
312,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
313,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
314,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
315,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
316,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
317,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(1.0), np.float64(0.166667))",0.25,0.18633899812498247,0.5,24999,cycling/asymmetric
318,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
319,500000,6,0.4583466666666666,0.09375166666666665,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.15023869837325163,0.5833333333333333,24999,cycling/asymmetric
320,500000,6,0.49998,0.12499361111111111,0.99992,0.99992,"(np.float64(0.5), np.float64(0.5))",0.99992,0.002471985257057799,0.4166666666666667,1,monopoly_regime
321,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(0.666667))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
322,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
323,500000,6,0.4999833333333333,0.09374611111111111,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.24998,0.18634421479855204,0.6666666666666666,24999,cycling/asymmetric
324,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
325,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
326,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
327,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(1.0))",0.25,0.18633899812498247,0.5,25000,cycling/asymmetric
328,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
329,500000,6,0.6666666666666665,0.11111111111111113,0.0,0.0,"(np.float64(0.666667), np.float64(0.666667))",1.0,1.1102230246251565e-16,0.0,0,focal_equal_price
330,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
331,500000,6,0.5000033333333332,0.125,0.99996,0.99996,"(np.float64(0.5), np.float64(0.5))",0.99996,0.0005270357356637841,0.08333333333333326,0,monopoly_regime
332,500000,6,0.33337666666666665,0.11111166666666669,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99984,0.003836710106907276,0.49999999999999994,3,focal_equal_price
333,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
334,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
335,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(0.666667))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
336,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
337,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
338,500000,6,0.4999833333333333,0.12499277777777777,0.9999,0.99992,"(np.float64(0.5), np.float64(0.5))",0.9999,0.002635178678318923,0.5833333333333333,2,monopoly_regime
339,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
340,500000,6,0.66668,0.11111111111111115,0.0,0.0,"(np.float64(0.666667), np.float64(0.666667))",0.99992,0.0014906523553278423,0.16666666666666663,0,focal_equal_price
341,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
342,500000,6,0.33335,0.11110694444444447,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.9999,0.002738562072004617,0.6666666666666666,3,focal_equal_price
343,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.18633899812498247,0.5,25000,cycling/asymmetric
344,500000,6,0.33333666666666667,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99996,0.0005270357356637845,0.08333333333333331,0,focal_equal_price
